sim_id,pressure,control,chaos,final_entropy,mean_entropy,max_entropy,mean_instability,max_instability
0,0.0,0.0,0.0,3.4651050567626953,3.465099334716797,3.4651050567626953,0.0,0.0
1,0.0,0.0,0.1666666716337204,3.45548677444458,3.456192970275879,3.4647891521453857,0.0007048595580272377,0.002971649169921875
2,0.0,0.0,0.3333333134651184,3.4323482513427734,3.4308526515960693,3.4648330211639404,0.0018339894013479352,0.009158849716186523
3,0.0,0.0,0.5,3.3908839225769043,3.395279884338379,3.4648962020874023,0.0030210723634809256,0.024793148040771484
4,0.0,0.3333333432674408,0.0,1.1355457305908203,1.6328353881835938,3.464448928833008,0.007737217471003532,0.051027536392211914
5,0.0,0.3333333432674408,0.1666666716337204,2.81732177734375,2.829347848892212,3.4648358821868896,0.003696494735777378,0.034276485443115234
6,0.0,0.3333333432674408,0.3333333134651184,3.314791440963745,3.3096261024475098,3.4650750160217285,0.002050303854048252,0.015537738800048828
7,0.0,0.3333333432674408,0.5,3.421159267425537,3.419623374938965,3.464898109436035,0.0016043336363509297,0.01632833480834961
8,0.0,0.6666666269302368,0.0,0.8790950775146484,1.3395545482635498,3.465097427368164,0.008591358549892902,0.09937596321105957
9,0.0,0.6666666269302368,0.1666666716337204,2.535074472427368,2.540435314178467,3.464583158493042,0.0053453873842954636,0.07921266555786133
10,0.0,0.6666666269302368,0.3333333134651184,3.142965316772461,3.1301355361938477,3.464661121368408,0.003328491235151887,0.04961061477661133
11,0.0,0.6666666269302368,0.5,3.344336748123169,3.3436455726623535,3.4646401405334473,0.0025211102329194546,0.02403092384338379
12,0.0,1.0,0.0,0.7040755748748779,1.1343591213226318,3.464515209197998,0.00917100440710783,0.15264511108398438
13,0.0,1.0,0.1666666716337204,2.3483431339263916,2.364661693572998,3.464996337890625,0.0060883271507918835,0.13436198234558105
14,0.0,1.0,0.3333333134651184,3.0236616134643555,2.9912021160125732,3.465066432952881,0.004458426032215357,0.09377121925354004
15,0.0,1.0,0.5,3.2691502571105957,3.268106460571289,3.4649770259857178,0.0031324075534939766,0.05350470542907715
16,0.3333333432674408,0.0,0.0,-0.0,0.30423635244369507,3.464653491973877,0.014016734436154366,0.1466580331325531
17,0.3333333432674408,0.0,0.1666666716337204,1.5567673444747925,1.6855921745300293,3.4649765491485596,0.00893044751137495,0.08670616149902344
18,0.3333333432674408,0.0,0.3333333134651184,2.2643909454345703,2.3476498126983643,3.464588165283203,0.006786539684981108,0.053742408752441406
19,0.3333333432674408,0.0,0.5,2.7095346450805664,2.7600855827331543,3.465010166168213,0.0050332616083323956,0.02870917320251465
20,0.3333333432674408,0.3333333432674408,0.0,-0.0,0.2594781219959259,3.46474027633667,0.01586432382464409,0.187967449426651
21,0.3333333432674408,0.3333333432674408,0.1666666716337204,1.4901783466339111,1.6044729948043823,3.464816093444824,0.009066788479685783,0.13824748992919922
22,0.3333333432674408,0.3333333432674408,0.3333333134651184,2.1795146465301514,2.2648370265960693,3.464766025543213,0.006931684445589781,0.09880352020263672
23,0.3333333432674408,0.3333333432674408,0.5,2.620354413986206,2.6707234382629395,3.4647977352142334,0.00591261126101017,0.060148000717163086
24,0.3333333432674408,0.6666666269302368,0.0,-0.0,0.22911006212234497,3.465238571166992,0.017914017662405968,0.23164045810699463
25,0.3333333432674408,0.6666666269302368,0.1666666716337204,1.4202766418457031,1.5447064638137817,3.464693069458008,0.009461005218327045,0.18673372268676758
26,0.3333333432674408,0.6666666269302368,0.3333333134651184,2.1297783851623535,2.200413942337036,3.4647345542907715,0.0076304893009364605,0.14603519439697266
27,0.3333333432674408,0.6666666269302368,0.5,2.5479161739349365,2.6033880710601807,3.4642975330352783,0.006118150427937508,0.09245967864990234
28,0.3333333432674408,1.0,0.0,-0.0,0.21639356017112732,3.464498281478882,0.01883665844798088,0.2851221561431885
29,0.3333333432674408,1.0,0.1666666716337204,1.388358473777771,1.4951282739639282,3.4648332595825195,0.009743524715304375,0.2456989288330078
30,0.3333333432674408,1.0,0.3333333134651184,2.075467109680176,2.151620864868164,3.4648618698120117,0.007498722057789564,0.1737830638885498
31,0.3333333432674408,1.0,0.5,2.4975383281707764,2.5487165451049805,3.464082717895508,0.006191564723849297,0.12837934494018555
32,0.6666666269302368,0.0,0.0,-0.0,0.1521480679512024,3.4648056030273438,0.01391362864524126,0.2724147439002991
33,0.6666666269302368,0.0,0.1666666716337204,1.2048699855804443,1.2906417846679688,3.4644553661346436,0.011553767137229443,0.18439745903015137
34,0.6666666269302368,0.0,0.3333333134651184,1.8797768354415894,1.9373246431350708,3.4649276733398438,0.009640255011618137,0.14074182510375977
35,0.6666666269302368,0.0,0.5,2.2903084754943848,2.333625555038452,3.4647376537323,0.008518986403942108,0.0885624885559082
36,0.6666666269302368,0.3333333432674408,0.0,-0.0,0.13734997808933258,3.4649453163146973,0.015108469873666763,0.37652572989463806
37,0.6666666269302368,0.3333333432674408,0.1666666716337204,1.1732633113861084,1.2579426765441895,3.464792251586914,0.011457606218755245,0.2476339340209961
38,0.6666666269302368,0.3333333432674408,0.3333333134651184,1.8472477197647095,1.9065407514572144,3.4648399353027344,0.009342486970126629,0.17849445343017578
39,0.6666666269302368,0.3333333432674408,0.5,2.2483503818511963,2.2985522747039795,3.4651575088500977,0.008615304715931416,0.1269817352294922
40,0.6666666269302368,0.6666666269302368,0.0,-0.0,0.13092100620269775,3.464824914932251,0.015723170712590218,0.3960419297218323
41,0.6666666269302368,0.6666666269302368,0.1666666716337204,1.143893837928772,1.2307723760604858,3.46441912651062,0.011479037813842297,0.31427836418151855
42,0.6666666269302368,0.6666666269302368,0.3333333134651184,1.818634271621704,1.880445122718811,3.465083122253418,0.009362014941871166,0.23816633224487305
43,0.6666666269302368,0.6666666269302368,0.5,2.232832431793213,2.271214723587036,3.464855670928955,0.008842348121106625,0.16530942916870117
