sim_id,pressure,control,chaos,mean_entropy,final_entropy
0,0.0,0.0,0.0,3.465099334716797,3.4651050567626953
1,0.0,0.0,0.1666666716337204,3.456192970275879,3.45548677444458
2,0.0,0.0,0.3333333134651184,3.4308526515960693,3.4323482513427734
3,0.0,0.0,0.5,3.395279884338379,3.3908839225769043
4,0.0,0.3333333432674408,0.0,1.6328353881835938,1.1355457305908203
5,0.0,0.3333333432674408,0.1666666716337204,2.829347848892212,2.81732177734375
6,0.0,0.3333333432674408,0.3333333134651184,3.3096261024475098,3.314791440963745
7,0.0,0.3333333432674408,0.5,3.419623374938965,3.421159267425537
8,0.0,0.6666666269302368,0.0,1.3395545482635498,0.8790950775146484
9,0.0,0.6666666269302368,0.1666666716337204,2.540435314178467,2.535074472427368
10,0.0,0.6666666269302368,0.3333333134651184,3.1301355361938477,3.142965316772461
11,0.0,0.6666666269302368,0.5,3.3436455726623535,3.344336748123169
12,0.0,1.0,0.0,1.1343591213226318,0.7040755748748779
13,0.0,1.0,0.1666666716337204,2.364661693572998,2.3483431339263916
14,0.0,1.0,0.3333333134651184,2.9912021160125732,3.0236616134643555
15,0.0,1.0,0.5,3.268106460571289,3.2691502571105957
16,0.3333333432674408,0.0,0.0,0.30423635244369507,-0.0
17,0.3333333432674408,0.0,0.1666666716337204,1.6855921745300293,1.5567673444747925
18,0.3333333432674408,0.0,0.3333333134651184,2.3476498126983643,2.2643909454345703
19,0.3333333432674408,0.0,0.5,2.7600855827331543,2.7095346450805664
20,0.3333333432674408,0.3333333432674408,0.0,0.2594781219959259,-0.0
21,0.3333333432674408,0.3333333432674408,0.1666666716337204,1.6044729948043823,1.4901783466339111
22,0.3333333432674408,0.3333333432674408,0.3333333134651184,2.2648370265960693,2.1795146465301514
23,0.3333333432674408,0.3333333432674408,0.5,2.6707234382629395,2.620354413986206
24,0.3333333432674408,0.6666666269302368,0.0,0.22911006212234497,-0.0
25,0.3333333432674408,0.6666666269302368,0.1666666716337204,1.5447064638137817,1.4202766418457031
26,0.3333333432674408,0.6666666269302368,0.3333333134651184,2.200413942337036,2.1297783851623535
27,0.3333333432674408,0.6666666269302368,0.5,2.6033880710601807,2.5479161739349365
28,0.3333333432674408,1.0,0.0,0.21639356017112732,-0.0
29,0.3333333432674408,1.0,0.1666666716337204,1.4951282739639282,1.388358473777771
30,0.3333333432674408,1.0,0.3333333134651184,2.151620864868164,2.075467109680176
31,0.3333333432674408,1.0,0.5,2.5487165451049805,2.4975383281707764
32,0.6666666269302368,0.0,0.0,0.1521480679512024,-0.0
33,0.6666666269302368,0.0,0.1666666716337204,1.2906417846679688,1.2048699855804443
34,0.6666666269302368,0.0,0.3333333134651184,1.9373246431350708,1.8797768354415894
35,0.6666666269302368,0.0,0.5,2.333625555038452,2.2903084754943848
36,0.6666666269302368,0.3333333432674408,0.0,0.13734997808933258,-0.0
37,0.6666666269302368,0.3333333432674408,0.1666666716337204,1.2579426765441895,1.1732633113861084
38,0.6666666269302368,0.3333333432674408,0.3333333134651184,1.9065407514572144,1.8472477197647095
39,0.6666666269302368,0.3333333432674408,0.5,2.2985522747039795,2.2483503818511963
40,0.6666666269302368,0.6666666269302368,0.0,0.13092100620269775,-0.0
41,0.6666666269302368,0.6666666269302368,0.1666666716337204,1.2307723760604858,1.143893837928772
42,0.6666666269302368,0.6666666269302368,0.3333333134651184,1.880445122718811,1.818634271621704
43,0.6666666269302368,0.6666666269302368,0.5,2.271214723587036,2.232832431793213
44,0.6666666269302368,1.0,0.0,0.11978258192539215,-0.0
45,0.6666666269302368,1.0,0.1666666716337204,1.2084029912948608,1.1306942701339722
46,0.6666666269302368,1.0,0.3333333134651184,1.8566105365753174,1.7944214344024658
47,0.6666666269302368,1.0,0.5,2.245816469192505,2.1965739727020264
48,1.0,0.0,0.0,0.10060247033834457,-0.0
49,1.0,0.0,0.1666666716337204,1.08942449092865,1.0196175575256348
50,1.0,0.0,0.3333333134651184,1.7260054349899292,1.6853324174880981
51,1.0,0.0,0.5,2.106051206588745,2.0710372924804688
52,1.0,0.3333333432674408,0.0,0.09692127257585526,-0.0
53,1.0,0.3333333432674408,0.1666666716337204,1.0749378204345703,1.0096355676651
54,1.0,0.3333333432674408,0.3333333134651184,1.7093454599380493,1.6676793098449707
55,1.0,0.3333333432674408,0.5,2.090646982192993,2.071988821029663
56,1.0,0.6666666269302368,0.0,0.09194067120552063,-0.0
57,1.0,0.6666666269302368,0.1666666716337204,1.0617529153823853,0.9951837658882141
58,1.0,0.6666666269302368,0.3333333134651184,1.6966177225112915,1.6416839361190796
59,1.0,0.6666666269302368,0.5,2.073835611343384,2.0464377403259277
60,1.0,1.0,0.0,0.08992122113704681,-0.0
61,1.0,1.0,0.1666666716337204,1.0530116558074951,0.9920860528945923
62,1.0,1.0,0.3333333134651184,1.6884698867797852,1.6328998804092407
63,1.0,1.0,0.5,2.0655863285064697,2.0356674194335938
