control,chaos,collapse_steepness,critical_pressure_below_2_0,critical_pressure_below_1_0
0.0,0.0,-30.871947739364288,0.0909090936183929,0.0909090936183929
0.0,0.0454545468091964,-23.13468351558795,0.0909090936183929,0.1818181872367859
0.0,0.0909090936183929,-17.213591777873297,0.0909090936183929,0.4545454680919647
0.0,0.1363636404275894,-13.321788629240142,0.1818181872367859,0.8181818127632141
0.0,0.1818181872367859,-10.375347781916034,0.2727272808551788,
0.0,0.2272727340459823,-7.949876786772112,0.3636363744735718,
0.0,0.2727272510528564,-5.861840550248614,0.4545454680919647,
0.0,0.3181818127632141,-4.784036732195706,0.5454545021057129,
0.0,0.3636363744735718,-4.636260848156782,0.7272727489471436,
0.0,0.409090906381607,-4.215062731055534,0.9090908765792848,
0.0,0.4545454382896423,-3.508517399176435,,
0.0,0.5,-2.814243232779408,,
0.0909090936183929,0.0,-16.241563491774702,0.0909090936183929,0.0909090936183929
0.0909090936183929,0.0454545468091964,-13.169473017171835,0.0909090936183929,0.1818181872367859
0.0909090936183929,0.0909090936183929,-12.01909124794331,0.0909090936183929,0.4545454680919647
0.0909090936183929,0.1363636404275894,-11.247198484921507,0.1818181872367859,0.8181818127632141
0.0909090936183929,0.1818181872367859,-9.971346081157145,0.2727272808551788,
0.0909090936183929,0.2272727340459823,-8.445436225967523,0.3636363744735718,
0.0909090936183929,0.2727272510528564,-6.779982841611423,0.4545454680919647,
0.0909090936183929,0.3181818127632141,-5.251791320687788,0.5454545021057129,
0.0909090936183929,0.3636363744735718,-4.167507047429469,0.7272727489471436,
0.0909090936183929,0.409090906381607,-4.046431897686954,0.8181818127632141,
0.0909090936183929,0.4545454382896423,-3.5997866511408474,1.0,
0.0909090936183929,0.5,-2.9943532051338826,,
0.1818181872367859,0.0,-12.523467227117209,0.0,0.0909090936183929
0.1818181872367859,0.0454545468091964,-10.453180120790602,0.0909090936183929,0.1818181872367859
0.1818181872367859,0.0909090936183929,-9.516888096425296,0.0909090936183929,0.3636363744735718
0.1818181872367859,0.1363636404275894,-9.319754799611728,0.1818181872367859,0.8181818127632141
0.1818181872367859,0.1818181872367859,-8.815194582486322,0.1818181872367859,
0.1818181872367859,0.2272727340459823,-7.899827006464395,0.2727272808551788,
0.1818181872367859,0.2727272510528564,-6.741957701982331,0.4545454680919647,
0.1818181872367859,0.3181818127632141,-5.601064515082108,0.5454545021057129,
0.1818181872367859,0.3636363744735718,-4.401065695254039,0.7272727489471436,
0.1818181872367859,0.409090906381607,-3.6765633917879033,0.8181818127632141,
0.1818181872367859,0.4545454382896423,-3.545296801766842,1.0,
0.1818181872367859,0.5,-3.1137262846909066,,
0.2727272808551788,0.0,-10.643755267746595,0.0,0.0909090936183929
0.2727272808551788,0.0454545468091964,-9.135859097961816,0.0,0.1818181872367859
0.2727272808551788,0.0909090936183929,-8.363378871578611,0.0909090936183929,0.3636363744735718
0.2727272808551788,0.1363636404275894,-8.023393630284264,0.1818181872367859,0.8181818127632141
0.2727272808551788,0.1818181872367859,-7.815950875999011,0.1818181872367859,
0.2727272808551788,0.2272727340459823,-7.311138888861579,0.2727272808551788,
0.2727272808551788,0.2727272510528564,-6.645031492560162,0.3636363744735718,
0.2727272808551788,0.3181818127632141,-5.712672063330651,0.5454545021057129,
0.2727272808551788,0.3636363744735718,-4.6350098659095185,0.6363636255264282,
0.2727272808551788,0.409090906381607,-3.591213357710442,0.8181818127632141,
0.2727272808551788,0.4545454382896423,-3.3879484120622734,1.0,
0.2727272808551788,0.5,-3.1162151361639743,,
0.3636363744735718,0.0,-10.141180362070196,0.0,0.0909090936183929
0.3636363744735718,0.0454545468091964,-8.604856473062746,0.0,0.1818181872367859
0.3636363744735718,0.0909090936183929,-7.487263813994416,0.0909090936183929,0.3636363744735718
0.3636363744735718,0.1363636404275894,-7.207093620088885,0.0909090936183929,0.7272727489471436
0.3636363744735718,0.1818181872367859,-7.233900569859133,0.1818181872367859,
0.3636363744735718,0.2272727340459823,-6.87796333795895,0.2727272808551788,
0.3636363744735718,0.2727272510528564,-6.245642952750836,0.3636363744735718,
0.3636363744735718,0.3181818127632141,-5.597891163888839,0.5454545021057129,
0.3636363744735718,0.3636363744735718,-4.748524047478319,0.6363636255264282,
0.3636363744735718,0.409090906381607,-3.8445044802276964,0.8181818127632141,
0.3636363744735718,0.4545454382896423,-3.183852100853558,1.0,
0.3636363744735718,0.5,-3.032223611109744,,
0.4545454680919647,0.0,-9.764952696414218,0.0,0.0909090936183929
0.4545454680919647,0.0454545468091964,-7.518502965018068,0.0,0.1818181872367859
0.4545454680919647,0.0909090936183929,-6.776894725057643,0.0909090936183929,0.3636363744735718
0.4545454680919647,0.1363636404275894,-6.868925843568872,0.0909090936183929,0.7272727489471436
0.4545454680919647,0.1818181872367859,-6.6424534725411775,0.1818181872367859,
0.4545454680919647,0.2272727340459823,-6.557134909715211,0.2727272808551788,
0.4545454680919647,0.2727272510528564,-6.064302978983435,0.3636363744735718,
0.4545454680919647,0.3181818127632141,-5.467841462259251,0.5454545021057129,
0.4545454680919647,0.3636363744735718,-4.792004204034682,0.6363636255264282,
0.4545454680919647,0.409090906381607,-3.965684534141884,0.8181818127632141,
0.4545454680919647,0.4545454382896423,-3.2199207776808523,1.0,
0.4545454680919647,0.5,-2.9270598016065406,,
0.5454545021057129,0.0,-8.206715965070849,0.0,0.0909090936183929
0.5454545021057129,0.0454545468091964,-7.1565402997571175,0.0,0.0909090936183929
0.5454545021057129,0.0909090936183929,-6.76114860888873,0.0909090936183929,0.3636363744735718
0.5454545021057129,0.1363636404275894,-6.361906934919747,0.0909090936183929,0.7272727489471436
0.5454545021057129,0.1818181872367859,-6.1765006131976685,0.1818181872367859,
0.5454545021057129,0.2272727340459823,-6.103697118052934,0.2727272808551788,
0.5454545021057129,0.2727272510528564,-5.836149518604598,0.3636363744735718,
0.5454545021057129,0.3181818127632141,-5.513430192666348,0.4545454680919647,
0.5454545021057129,0.3636363744735718,-4.713672259042496,0.6363636255264282,
0.5454545021057129,0.409090906381607,-4.040727733351956,0.8181818127632141,
0.5454545021057129,0.4545454382896423,-3.3628894280526227,1.0,
0.5454545021057129,0.5,-2.7804352408517814,,
0.6363636255264282,0.0,-7.888553741915416,0.0,0.0909090936183929
0.6363636255264282,0.0454545468091964,-6.283930352809122,0.0,0.0909090936183929
0.6363636255264282,0.0909090936183929,-6.187127405788683,0.0909090936183929,0.3636363744735718
0.6363636255264282,0.1363636404275894,-5.810808604633552,0.0909090936183929,0.7272727489471436
0.6363636255264282,0.1818181872367859,-5.923694672474431,0.1818181872367859,
0.6363636255264282,0.2272727340459823,-5.874261204175315,0.2727272808551788,
0.6363636255264282,0.2727272510528564,-5.660581896883796,0.3636363744735718,
0.6363636255264282,0.3181818127632141,-5.3706057855306355,0.4545454680919647,
0.6363636255264282,0.3636363744735718,-4.745869971934858,0.6363636255264282,
0.6363636255264282,0.409090906381607,-4.16652619342428,0.8181818127632141,
0.6363636255264282,0.4545454382896423,-3.4405001568645206,1.0,
0.6363636255264282,0.5,-2.751917041781038,,
0.7272727489471436,0.0,-7.938584836167553,0.0,0.0909090936183929
0.7272727489471436,0.0454545468091964,-7.104895976039889,0.0,0.0909090936183929
0.7272727489471436,0.0909090936183929,-5.7330706795134985,0.0,0.3636363744735718
0.7272727489471436,0.1363636404275894,-5.6331717481264,0.0909090936183929,0.7272727489471436
0.7272727489471436,0.1818181872367859,-5.659826586847703,0.1818181872367859,
0.7272727489471436,0.2272727340459823,-5.561248136721609,0.2727272808551788,
0.7272727489471436,0.2727272510528564,-5.440110044476093,0.3636363744735718,
0.7272727489471436,0.3181818127632141,-5.169808710521207,0.4545454680919647,
0.7272727489471436,0.3636363744735718,-4.787089443591554,0.6363636255264282,
0.7272727489471436,0.409090906381607,-4.211280935666535,0.8181818127632141,
0.7272727489471436,0.4545454382896423,-3.59454668776552,1.0,
0.7272727489471436,0.5,-2.920547875149613,,
0.8181818127632141,0.0,-7.476293788066695,0.0,0.0909090936183929
0.8181818127632141,0.0454545468091964,-6.241447441534777,0.0,0.0909090936183929
0.8181818127632141,0.0909090936183929,-5.650622557085085,0.0,0.2727272808551788
0.8181818127632141,0.1363636404275894,-5.502541139646141,0.0909090936183929,0.7272727489471436
0.8181818127632141,0.1818181872367859,-5.355019648223532,0.1818181872367859,
0.8181818127632141,0.2272727340459823,-5.2756701327660664,0.2727272808551788,
0.8181818127632141,0.2727272510528564,-5.323498567238495,0.3636363744735718,
0.8181818127632141,0.3181818127632141,-5.051644651542766,0.4545454680919647,
0.8181818127632141,0.3636363744735718,-4.78714451828168,0.6363636255264282,
0.8181818127632141,0.409090906381607,-4.1694740006484405,0.8181818127632141,
0.8181818127632141,0.4545454382896423,-3.6071928856613438,1.0,
0.8181818127632141,0.5,-2.999362379331519,,
0.9090908765792848,0.0,-7.629635166238694,0.0,0.0909090936183929
0.9090908765792848,0.0454545468091964,-5.945942880334175,0.0,0.0909090936183929
0.9090908765792848,0.0909090936183929,-5.481966808975734,0.0,0.2727272808551788
0.9090908765792848,0.1363636404275894,-5.2168739671446716,0.0909090936183929,0.7272727489471436
0.9090908765792848,0.1818181872367859,-5.245814405506422,0.1818181872367859,
0.9090908765792848,0.2272727340459823,-5.06404956984372,0.1818181872367859,
0.9090908765792848,0.2727272510528564,-5.1151536370768085,0.3636363744735718,
0.9090908765792848,0.3181818127632141,-4.931563468826908,0.4545454680919647,
0.9090908765792848,0.3636363744735718,-4.700373032677975,0.6363636255264282,
0.9090908765792848,0.409090906381607,-4.153457756237452,0.8181818127632141,
0.9090908765792848,0.4545454382896423,-3.7014020770370357,1.0,
0.9090908765792848,0.5,-3.086773780382462,,
1.0,0.0,-7.034462331698471,0.0,0.0
1.0,0.0454545468091964,-6.343431343333982,0.0,0.0909090936183929
1.0,0.0909090936183929,-5.227115236904768,0.0,0.2727272808551788
1.0,0.1363636404275894,-5.131892408970227,0.0909090936183929,0.7272727489471436
1.0,0.1818181872367859,-5.116426911460554,0.0909090936183929,
1.0,0.2272727340459823,-5.111917343380533,0.1818181872367859,
1.0,0.2727272510528564,-5.003955215097811,0.3636363744735718,
1.0,0.3181818127632141,-4.841529463484007,0.4545454680919647,
1.0,0.3636363744735718,-4.58436213182324,0.6363636255264282,
1.0,0.409090906381607,-4.246096007642266,0.7272727489471436,
1.0,0.4545454382896423,-3.7006021827279887,1.0,
1.0,0.5,-3.1994329929520804,,
