sim_id,pressure,control,chaos,final_entropy,mean_entropy,max_entropy,mean_instability,max_instability
0,0.0,0.0,0.0,3.4647369384765625,3.4647257328033447,3.4647369384765625,0.0,0.0
1,0.0,0.0,0.1666666716337204,3.4559614658355713,3.4558615684509277,3.4648170471191406,0.0007539278594776988,0.003239154815673828
2,0.0,0.0,0.3333333134651184,3.4308886528015137,3.430539608001709,3.464482307434082,0.001838367199525237,0.008967161178588867
3,0.0,0.0,0.5,3.397995948791504,3.394559383392334,3.465019941329956,0.0027569481171667576,0.02299976348876953
4,0.0,0.3333333432674408,0.0,1.1437658071517944,1.6313515901565552,3.464667558670044,0.007710640784353018,0.0509188175201416
5,0.0,0.3333333432674408,0.1666666716337204,2.8357551097869873,2.8455111980438232,3.4648215770721436,0.0036207465454936028,0.031965017318725586
6,0.0,0.3333333432674408,0.3333333134651184,3.3126320838928223,3.309504747390747,3.464728832244873,0.0020155415404587984,0.01488351821899414
7,0.0,0.3333333432674408,0.5,3.4197897911071777,3.41983962059021,3.4646031856536865,0.0017295177094638348,0.013987541198730469
8,0.0,0.6666666269302368,0.0,0.954778254032135,1.3556787967681885,3.464334011077881,0.008337950333952904,0.10116267204284668
9,0.0,0.6666666269302368,0.1666666716337204,2.4911887645721436,2.538517951965332,3.464337110519409,0.00519603444263339,0.07750511169433594
10,0.0,0.6666666269302368,0.3333333134651184,3.1437299251556396,3.1259801387786865,3.4648988246917725,0.0036078370176255703,0.05272078514099121
11,0.0,0.6666666269302368,0.5,3.3396811485290527,3.3436028957366943,3.4649219512939453,0.0025172438472509384,0.023078441619873047
12,0.0,1.0,0.0,0.7282089591026306,1.1147934198379517,3.465254068374634,0.009093175642192364,0.15385675430297852
13,0.0,1.0,0.1666666716337204,2.356034278869629,2.3630006313323975,3.464874505996704,0.0062407758086919785,0.1328115463256836
14,0.0,1.0,0.3333333134651184,3.007460832595825,2.9860198497772217,3.4648170471191406,0.004467041231691837,0.08845758438110352
15,0.0,1.0,0.5,3.2660601139068604,3.2658190727233887,3.464736223220825,0.003272764617577195,0.050189971923828125
16,0.3333333432674408,0.0,0.0,-0.0,0.2941052317619324,3.4644267559051514,0.014475815929472446,0.15692353248596191
